2020-04-23 07:37:04 startup archives install
2020-04-23 07:37:04 install base-passwd:armhf <none> 3.5.47
2020-04-23 07:37:04 status half-installed base-passwd:armhf 3.5.47
2020-04-23 07:37:04 status unpacked base-passwd:armhf 3.5.47
2020-04-23 07:37:04 configure base-passwd:armhf 3.5.47 3.5.47
2020-04-23 07:37:04 status half-configured base-passwd:armhf 3.5.47
2020-04-23 07:37:05 status installed base-passwd:armhf 3.5.47
2020-04-23 07:37:05 startup archives install
2020-04-23 07:37:05 install base-files:armhf <none> 11ubuntu5
2020-04-23 07:37:05 status half-installed base-files:armhf 11ubuntu5
2020-04-23 07:37:05 status unpacked base-files:armhf 11ubuntu5
2020-04-23 07:37:05 configure base-files:armhf 11ubuntu5 11ubuntu5
2020-04-23 07:37:05 status half-configured base-files:armhf 11ubuntu5
2020-04-23 07:37:05 status installed base-files:armhf 11ubuntu5
2020-04-23 07:37:05 startup archives install
2020-04-23 07:37:05 upgrade dpkg 1.19.7ubuntu3 1.19.7ubuntu3
2020-04-23 07:37:05 status half-configured dpkg 1.19.7ubuntu3
2020-04-23 07:37:05 status unpacked dpkg 1.19.7ubuntu3
2020-04-23 07:37:05 status half-installed dpkg 1.19.7ubuntu3
2020-04-23 07:37:06 status unpacked dpkg:armhf 1.19.7ubuntu3
2020-04-23 07:37:06 configure dpkg:armhf 1.19.7ubuntu3 1.19.7ubuntu3
2020-04-23 07:37:06 status half-configured dpkg:armhf 1.19.7ubuntu3
2020-04-23 07:37:06 status installed dpkg:armhf 1.19.7ubuntu3
2020-04-23 07:37:06 startup archives install
2020-04-23 07:37:06 install libc6:armhf <none> 2.31-0ubuntu9
2020-04-23 07:37:06 status half-installed libc6:armhf 2.31-0ubuntu9
2020-04-23 07:37:06 status unpacked libc6:armhf 2.31-0ubuntu9
2020-04-23 07:37:06 configure libc6:armhf 2.31-0ubuntu9 2.31-0ubuntu9
2020-04-23 07:37:06 status half-configured libc6:armhf 2.31-0ubuntu9
2020-04-23 07:37:07 status installed libc6:armhf 2.31-0ubuntu9
2020-04-23 07:37:07 startup archives install
2020-04-23 07:37:07 install perl-base:armhf <none> 5.30.0-9build1
2020-04-23 07:37:07 status half-installed perl-base:armhf 5.30.0-9build1
2020-04-23 07:37:07 status unpacked perl-base:armhf 5.30.0-9build1
2020-04-23 07:37:07 configure perl-base:armhf 5.30.0-9build1 5.30.0-9build1
2020-04-23 07:37:07 status half-configured perl-base:armhf 5.30.0-9build1
2020-04-23 07:37:07 status installed perl-base:armhf 5.30.0-9build1
2020-04-23 07:37:07 startup archives install
2020-04-23 07:37:07 install mawk:armhf <none> 1.3.4.20200120-2
2020-04-23 07:37:07 status half-installed mawk:armhf 1.3.4.20200120-2
2020-04-23 07:37:07 status unpacked mawk:armhf 1.3.4.20200120-2
2020-04-23 07:37:08 configure mawk:armhf 1.3.4.20200120-2 1.3.4.20200120-2
2020-04-23 07:37:08 status half-configured mawk:armhf 1.3.4.20200120-2
2020-04-23 07:37:08 status installed mawk:armhf 1.3.4.20200120-2
2020-04-23 07:37:08 startup archives unpack
2020-04-23 07:37:08 upgrade base-files:armhf 11ubuntu5 11ubuntu5
2020-04-23 07:37:08 status half-configured base-files:armhf 11ubuntu5
